DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
"011401303,09/13/2010,09/12/2010,0045,14,Pacific,1485,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329,0,M,W,101,STREET,,,IC,Invest Cont,740,,,,SEPULVEDA                    BL,MANCHESTER                   AV,""(33.9599, -118.3962)"""
"070309629,08/09/2010,08/09/2010,1515,13,Newton,1324,946,OTHER MISCELLANEOUS CRIME,0344,0,M,H,103,ALLEY,,,IC,Invest Cont,946,,,,1300 E  21ST                         ST,,""(34.0224, -118.2524)"""
"100100508,01/08/2010,01/07/2010,2005,01,Central,0182,330,BURGLARY FROM VEHICLE,0344,46,M,H,101,STREET,,,IC,Invest Cont,330,,,,PICO                         BL,GRAND                        AV,""(34.0389, -118.2643)"""
"100100511,01/09/2010,01/06/2010,2100,01,Central,0132,341,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",0344 1402,55,M,W,710,OTHER PREMISE,,,IC,Invest Cont,341,998,,,200 S  OLIVE                        ST,,""(34.0538, -118.2488)"""
"100100523,01/15/2010,01/15/2010,0245,01,Central,0182,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329,24,F,W,102,SIDEWALK,,,AA,Adult Arrest,740,,,,1100 S  OLIVE                        ST,,""(34.0409, -118.2609)"""
"100100552,01/23/2010,01/23/2010,1225,01,Central,0192,237,CHILD NEGLECT (SEE 300 W.I.C.),1251,11,M,H,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",,,IC,Invest Cont,237,,,,1300 S  FLOWER                       ST,,""(34.0401, -118.2668)"""
"100100562,01/28/2010,01/28/2010,2345,01,Central,0152,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,28,M,O,108,PARKING LOT,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,626,,,,500 S  GRAND                        AV,,""(34.0502, -118.254)"""
"100100575,02/01/2010,01/31/2010,1720,01,Central,0181,341,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",1402,36,M,W,710,OTHER PREMISE,,,AA,Adult Arrest,341,,,,1100 S  FIGUEROA                     ST,,""(34.0437, -118.2652)"""
"100100610,02/11/2010,02/10/2010,1800,01,Central,0162,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402,23,M,B,404,DEPARTMENT STORE,,,AA,Adult Arrest,442,998,,,700 W  7TH                          ST,,""(34.048, -118.2577)"""
"100100616,02/11/2010,02/11/2010,1515,01,Central,0192,341,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",1212,0,M,H,102,SIDEWALK,,,AA,Adult Arrest,341,,,,PICO,GRAND,""(34.0389, -118.2643)"""
"100100638,02/20/2010,02/20/2010,0100,01,Central,0164,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329,0,M,O,101,STREET,,,AA,Adult Arrest,740,,,,100 W  7TH                          ST,,""(34.0439, -118.2514)"""
"100100650,02/25/2010,02/25/2010,0030,01,Central,0111,310,BURGLARY,0344 1251,20,F,A,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",,,IC,Invest Cont,310,,,,500 N  FIGUEROA                     ST,,""(34.0617, -118.2469)"""
"100100654,02/27/2010,02/27/2010,1955,01,Central,0174,946,OTHER MISCELLANEOUS CRIME,,0,M,W,101,STREET,,,AA,Adult Arrest,946,,,,W  7TH                          ST,S  SPRING                       ST,""(34.0445, -118.2523)"""
"100100660,03/01/2010,03/01/2010,0100,01,Central,0148,648,ARSON,1501,0,M,O,101,STREET,,,IC,Invest Cont,648,,,,5TH,SAN PEDRO                    ST,""(34.0435, -118.2427)"""
"100100697,03/12/2010,03/12/2010,1520,01,Central,0151,341,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",0344 1402,0,M,X,101,STREET,,,AA,Adult Arrest,341,998,,,7TH,FIGUEROA,""(34.0499, -118.2614)"""
