Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
20190000100003,03/20/2019,1814,03/20/2019,2051,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NORTHGATE
20190000100043,03/18/2019,1100,03/20/2019,1848,CAR PROWL,THEFT-CARPROWL,NORTH,U,U2,UNIVERSITY
20190000100051,03/20/2019,1852,03/20/2019,1852,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,EAST,G,G3,MADRONA/LESCHI
20190000100055,03/14/2019,730,03/20/2019,1845,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,Q,Q2,QUEEN ANNE
20190000100066,03/13/2019,1630,03/20/2019,1904,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,F,F2,HIGHLAND PARK
20190000100067,03/19/2019,1820,03/21/2019,722,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,QUEEN ANNE
20190000100086,03/20/2019,1927,03/20/2019,2029,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NORTHGATE
20190000100088,03/20/2019,1928,03/20/2019,1929,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTHWEST,W,W1,NORTH ADMIRAL
20190000100099,03/21/2019,140,03/21/2019,140,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,G,G3,MADRONA/LESCHI
20190000100116,03/20/2019,2002,03/20/2019,2002,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-WEAPON,SOUTH,S,S2,BRIGHTON/DUNLAP
20190000100128,03/20/2019,1729,03/20/2019,1729,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20190000100134,03/20/2019,1800,03/20/2019,2155,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,F,F3,SOUTH PARK
20190000100153,03/20/2019,2035,03/20/2019,2035,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,EAST,E,E2,CAPITOL HILL
20190000100165,03/20/2019,2057,03/20/2019,2057,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20190000100170,03/20/2019,2050,03/20/2019,2102,CAR PROWL,THEFT-CARPROWL,WEST,M,M1,DOWNTOWN COMMERCIAL
20190000100174,03/19/2019,2100,03/20/2019,2201,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,N,N1,BITTERLAKE
20190000100187,03/18/2019,1900,03/20/2019,2102,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,D,D1,SLU/CASCADE
20190000100203,03/19/2019,1900,03/20/2019,2133,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,D,D3,EASTLAKE - WEST
20190000100205,03/20/2019,2140,03/20/2019,2140,HOMICIDE,HOMICIDE-PREMEDITATED-GUN,EAST,E,E2,CAPITOL HILL
20190000100210,03/20/2019,2149,03/20/2019,2236,WEAPON,WEAPON-UNLAWFUL USE,WEST,M,M2,SLU/CASCADE
20190000100229,03/17/2019,1800,03/21/2019,526,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,Q,Q3,QUEEN ANNE
20190000100234,03/20/2019,2216,03/20/2019,2216,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,Q,Q3,QUEEN ANNE
20190000100261,03/20/2019,2255,03/21/2019,2041,DUI,DUI-DRUGS,NORTH,J,J2,BALLARD NORTH
20190000100291,03/20/2019,2338,03/21/2019,34,CAR PROWL,THEFT-CARPROWL,NORTH,U,U2,UNIVERSITY
20190000100294,03/20/2019,2337,03/20/2019,2338,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS
20190000100296,03/20/2019,2342,03/20/2019,2342,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,SOUTH,S,S2,BRIGHTON/DUNLAP
20190000100304,03/20/2019,2355,03/20/2019,2355,NARCOTIC,NARC-POSSESS-HEROIN,NORTH,N,N3,NORTHGATE
20190000100318,03/21/2019,27,03/21/2019,27,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-BODYFORCE,EAST,G,G2,CENTRAL AREA/SQUIRE PARK
20190000100329,03/21/2019,44,03/21/2019,44,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,D,D3,SLU/CASCADE
20190000100336,03/20/2019,100,03/21/2019,49,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,C,C2,CENTRAL AREA/SQUIRE PARK
20190000100339,03/21/2019,105,03/21/2019,208,NARCOTIC,NARC-POSSESS-HEROIN,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2019000010034,11/01/2018,1,01/08/2019,934,SEX OFFENSE-OTHER,SEXOFF-OTHER,NORTH,L,L3,LAKECITY
20190000100341,03/21/2019,108,03/21/2019,247,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-WEAPON,WEST,D,D2,SLU/CASCADE
20190000100342,03/21/2019,111,03/21/2019,111,TRESPASS,TRESPASS,SOUTHWEST,F,F2,SOUTH DELRIDGE
20190000100343,03/21/2019,113,03/21/2019,446,DUI,DUI-LIQUOR,NORTH,L,L2,NORTHGATE
20190000100362,03/21/2019,150,03/21/2019,150,AGGRAVATED ASSAULT-DV,ASSLT-AGG-DV-WEAPON,SOUTH,S,S1,MID BEACON HILL
201900001004,12/31/2018,800,01/01/2019,2356,CAR PROWL,THEFT-LICENSE PLATE,NORTH,J,J2,BALLARD NORTH
2019000010040,09/01/2016,0,01/08/2019,1302,SEX OFFENSE-OTHER,SEXOFF-OTHER,NORTH,L,L1,NORTHGATE
20190000100411,03/21/2019,416,03/21/2019,416,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,D,D1,SLU/CASCADE
20190000100421,03/21/2019,420,03/21/2019,425,CAR PROWL,THEFT-CARPROWL,NORTH,U,U3,ROOSEVELT/RAVENNA
20190000100422,03/21/2019,550,03/21/2019,843,NARCOTIC,NARC-POSSESS-PILL/TABLET,SOUTH,R,R2,MOUNT BAKER
20190000100429,03/21/2019,434,03/21/2019,434,NARCOTIC,NARC-POSSESS-AMPHETAMINE,SOUTH,O,O3,GEORGETOWN
20190000100430,03/21/2019,435,03/21/2019,435,TRESPASS,TRESPASS,EAST,E,E3,FIRST HILL
20190000100449,03/21/2019,215,03/21/2019,550,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,J,J3,GREENWOOD
20190000100450,03/20/2019,1730,03/21/2019,539,CAR PROWL,THEFT-CARPROWL,WEST,D,D3,SLU/CASCADE
2019000010046,01/07/2019,2055,01/08/2019,1301,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,L,L2,NORTHGATE
20190000100466,03/21/2019,621,03/21/2019,621,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,C,C3,CENTRAL AREA/SQUIRE PARK
20190000100472,03/21/2019,627,03/21/2019,739,TRESPASS,TRESPASS,WEST,K,K1,DOWNTOWN COMMERCIAL
20190000100473,03/21/2019,626,03/21/2019,626,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M1,DOWNTOWN COMMERCIAL
20190000100478,03/21/2019,614,03/21/2019,1100,CAR PROWL,THEFT-CARPROWL,WEST,K,K1,DOWNTOWN COMMERCIAL
2019000010049,01/08/2019,1141,01/08/2019,1141,TRESPASS,TRESPASS,SOUTHWEST,F,F3,SOUTH PARK
2019000010050,01/08/2019,1100,01/08/2019,1200,WEAPON,WEAPON-POSSESSION,UNKNOWN,,,UNKNOWN
20190000100512,03/20/2019,2200,03/21/2019,730,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B2,BALLARD SOUTH
20190000100515,03/20/2019,1800,03/21/2019,716,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L2,NORTHGATE
20190000100516,03/20/2019,2000,03/21/2019,714,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S2,BRIGHTON/DUNLAP
2019000010052,01/08/2019,1845,01/08/2019,1900,NARCOTIC,NARC-SELL-METH,UNKNOWN,,,UNKNOWN
20190000100524,03/20/2019,2030,03/21/2019,728,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,J,J2,BALLARD NORTH
