PROVINCIA;CANTON;PARROQUIA;TIPO DE INSCRIPCION;AÑO;MES;TOTAL;;;
ORELLANA;LORETO;LORETO;Tardías (mayores de 48 horas);2016;2;5;;;
ORELLANA;FCO. DE ORELLANA;PTO. FCO. DE ORELLANA;Oportunas (hasta 48 horas);2016;1;14;;;
PICHINCHA;S MIGUEL DE LOS BANC;S MIGUEL DE LOS BANCOS;Oportunas (hasta 48 horas);2016;2;1;;;
PICHINCHA;RUMINAHUI;SANGOLQUI;Tardías (mayores de 48 horas);2016;1;3;;;
PICHINCHA;QUITO;CALDERON;Oportunas (hasta 48 horas);2016;2;12;;;
PICHINCHA;QUITO;COTOCOLLAO ;Oportunas (hasta 48 horas);2016;1;11;;;
PICHINCHA;QUITO;CARCELEN;Oportunas (hasta 48 horas);2016;2;13;;;
PICHINCHA;QUITO;CENTRO HISTORICO;Tardías (mayores de 48 horas);2016;2;17;;;
PICHINCHA;QUITO;ITCHIMBIA;Oportunas (hasta 48 horas);2016;1;12;;;
PICHINCHA;QUITO;SAN JUAN;Oportunas (hasta 48 horas);2016;1;276;;;
PICHINCHA;QUITO;CHILIBULO;Tardías (mayores de 48 horas);2016;2;3;;;
SANTA ELENA;SALINAS;JOSE LUIS TAMAYO /MUEY/;Oportunas (hasta 48 horas);2016;2;27;;;
STO DGO TSACHIL;LA CONCORDIA;LA CONCORDIA;Tardías (mayores de 48 horas);2016;1;2;;;
SUCUMBIOS;LAGO AGRIO;NUEVA LOJA;Tardías (mayores de 48 horas);2016;2;11;;;
SUCUMBIOS;GONZALO PIZARRO;LUMBAQUI;Oportunas (hasta 48 horas);2016;2;1;;;
TUNGURAHUA;QUERO;QUERO;Oportunas (hasta 48 horas);2016;1;6;;;
TUNGURAHUA;PILLARO;PILLARO;Tardías (mayores de 48 horas);2016;1;3;;;
TUNGURAHUA;PELILEO;PELILEO;Oportunas (hasta 48 horas);2016;2;18;;;
TUNGURAHUA;BAÑOS;BAÑOS;Oportunas (hasta 48 horas);2016;2;5;;;
TUNGURAHUA;AMBATO;IZAMBA;Tardías (mayores de 48 horas);2016;2;4;;;
ZAMORA CHINCHIPE;YANZATZA;YANZATZA;Oportunas (hasta 48 horas);2016;2;6;;;
